,STT,Mã HP,Tên HP,Kỳ học,Bắt buộc,TC ĐT,TC học,Mã HP học,Ghi chú loại HP,Điểm chữ,Điểm số,Viện/Khoa
0,0,EM1170,Pháp luật đại cương,1,True,2,2,EM1170,Chung toàn trường,B+,3.5,KKTVQL
1,1,MIL1110,Đường lối quân sự,1,True,0,0,MIL1110,Chung toàn trường,R,0,KGDQP
2,2,MIL1120,Công tác quốc phòng-An ninh,1,True,0,0,MIL1120,Chung toàn trường,R,0,KGDQP
3,3,MIL1130,QS chung và KCT bắn súng AK,3,True,0,0,MIL1130,Chung toàn trường,R,0,KGDQP
4,4,PE1010,Giáo dục thể chất A,1,True,0,0,PE1010,Chung toàn trường,B+,3.5,BGDTC
5,5,PE1020,Giáo dục thể chất B,2,True,0,0,PE1020,Chung toàn trường,D+,1.5,BGDTC
6,6,PE1030,Giáo dục thể chất C,3,True,0,,,Chung toàn trường, , ,BGDTC
7,7,SSH1050,Tư tưởng HCM,3,True,2,2,SSH1050,Chung toàn trường,D+,1.5,KML
8,8,SSH1110,Những NLCB của CNML I,1,True,2,2,SSH1110,Chung toàn trường,B+,3.5,KML
9,9,SSH1120,Những NLCB của CNML II,1,True,3,3,SSH1120,Chung toàn trường,C,2,KML
10,10,SSH1130,Đường lối CM của ĐCSVN,4,True,3,3,SSH1130,Chung toàn trường,A,4,KML
11,11,EM1010,Quản trị học đại cương,2,True,2,2,EM1010,BB khối kỹ thuật,C,2,KKTVQL
12,12,IT1110,Tin học đại cương,3,True,4,4,IT1110,BB khối kỹ thuật,B,3,TCNTT
13,13,MI1110,Giải tích I,1,True,4,4,MI1111,BB khối kỹ thuật,C,2,KTTD
14,14,MI1120,Giải tích II,2,True,3,3,MI1121,BB khối kỹ thuật,C,2,KTTD
15,15,MI1130,Giải tích III,2,True,3,3,MI1131,BB khối kỹ thuật,D+,1.5,KTTD
16,16,MI1140,Đại số,1,True,4,4,MI1141,BB khối kỹ thuật,D,1,KTTD
17,17,PH1110,Vật lý đại cương I,1,True,3,3,PH1110,BB khối kỹ thuật,B+,3.5,VVLKT
18,18,PH1120,Vật lý đại cương II,2,True,3,3,PH1120,BB khối kỹ thuật,C,2,VVLKT
19,19,IT2000,Nhập môn CNTT và TT,3,True,3,3,IT2000,BB Công nghệ thông tin,A,4,TCNTT
20,20,IT3010,Cấu trúc dữ liệu và giải thuật,4,True,3,3,IT3010,BB Công nghệ thông tin,D+,1.5,TCNTT
21,21,IT3020,Toán rời rạc,4,True,3,3,IT3020,BB Công nghệ thông tin,C,2,TCNTT
22,22,IT3030,Kiến trúc máy tính,4,True,3,3,IT3030,BB Công nghệ thông tin,B,3,TCNTT
23,23,IT3040,Kỹ thuật lập trình,4,True,2,2,IT3040,BB Công nghệ thông tin,D+,1.5,TCNTT
24,24,IT3070,Nguyên lý hệ điều hành,4,True,3,3,IT3070,BB Công nghệ thông tin,D,1,TCNTT
25,25,IT3080,Mạng máy tính,5,True,3,3,IT3080,BB Công nghệ thông tin,C,2,TCNTT
26,26,IT3090,Cơ sở dữ liệu,5,True,3,3,IT3090,BB Công nghệ thông tin,D+,1.5,TCNTT
27,27,IT3100,Lập trình hướng đối tượng,5,True,2,2,IT3100,BB Công nghệ thông tin,C,2,TCNTT
28,28,IT3110,Linux và phần mềm nguồn mở,5,True,2,2,IT3110,BB Công nghệ thông tin,B,3,TCNTT
29,29,IT3120,Phân tích và thiết kế hệ thống,6,True,2,2,IT3120,BB Công nghệ thông tin,B,3,TCNTT
30,30,IT3910,Project I,5,True,3,3,IT3910,BB Công nghệ thông tin,B+,3.5,TCNTT
31,31,IT3920,Project II,6,True,3,3,IT3920,BB Công nghệ thông tin,B,3,TCNTT
32,32,IT4010,An toàn và bảo mật thông tin,6,True,3,3,IT4015,BB Công nghệ thông tin,B,3,TCNTT
33,33,IT4040,Trí tuệ nhân tạo,5,True,3,3,IT3160,BB Công nghệ thông tin,D+,1.5,TCNTT
